id,user_id,code_id,item_id,game_id,difficulty,win,created
664,1,5,128,3,1,0,1747831176840
662,2,5,211,4,1,0,1747744259748
663,2,5,173,4,1,0,1747744259748
661,2,5,142,4,1,1,1747744257652
659,2,5,28,4,1,0,1747744256235
660,2,5,130,4,1,0,1747744256235
658,1,5,328,3,1,0,1747731961634
657,1,5,388,3,1,1,1747731815564
656,1,5,7,3,1,1,1747731643420
655,1,5,122,3,1,1,1747731519399
654,1,5,68,4,3,1,1747731377330
653,1,5,220,4,3,1,1747731363178
652,1,5,347,4,3,1,1747731355130
651,1,5,344,4,3,1,1747731349530
650,1,5,366,3,3,0,1747731289583
649,1,5,77,3,3,1,1747731082908
648,1,5,147,3,3,0,1747730879161
647,1,5,292,3,3,1,1747730677415
646,1,5,256,3,3,0,1747730476639
642,1,5,127,1,1,1,1747730299068
643,1,5,22,1,1,1,1747730299068
644,1,5,243,1,1,1,1747730299068
645,1,5,74,1,1,1,1747730299068
641,1,5,308,4,2,1,1747730230193
639,1,5,54,4,2,0,1747730215552
640,1,5,183,4,2,0,1747730215552
638,1,5,6,4,2,1,1747730197672
637,1,5,64,4,2,1,1747730192328
636,1,5,176,4,2,1,1747730167025
635,1,5,196,4,2,1,1747730158656
633,1,5,192,4,2,0,1747730148016
634,1,5,250,4,2,0,1747730148016
632,1,5,213,4,1,1,1747730120624
631,1,5,381,4,1,1,1747730113032
630,1,5,20,4,1,1,1747730108520
628,1,5,341,4,1,0,1747730090143
629,1,5,201,4,1,0,1747730090143
627,1,5,387,4,1,1,1747730079415
626,1,5,212,4,1,0,1747730048487
625,1,5,140,4,1,1,1747730036398
624,1,5,59,4,1,1,1747730001990
623,1,5,51,4,1,1,1747729997614
622,1,5,270,4,1,1,1747729989198
621,1,5,2,3,2,1,1747729946335
620,1,5,77,3,2,1,1747729788244
619,1,5,3,3,2,1,1747729626811
618,1,5,90,3,2,0,1747729501300
617,1,5,354,3,2,1,1747729293566
616,1,5,21,3,1,1,1747729165472
615,1,5,144,3,1,1,1747728911891
614,1,5,287,3,1,1,1747728667573
613,1,5,257,3,1,1,1747728433761
612,1,5,156,3,1,0,1747728269012
611,2,5,104,3,1,0,1747728248644
610,1,5,37,3,1,1,1747728164034
609,1,5,193,3,1,1,1747728025092
608,1,5,69,3,1,0,1747727835656
607,2,5,97,3,1,1,1747727747303
606,1,5,170,3,1,0,1747727667296
605,1,5,417,3,1,1,1747727540523
604,1,5,13,3,1,1,1747727416252
603,2,5,65,3,1,0,1747727367738
602,2,5,165,3,1,0,1747726300302
601,2,5,382,3,1,1,1747674998960
600,2,5,49,3,1,0,1747674811181
599,2,5,375,3,1,1,1747674699137
598,2,5,377,3,1,0,1747674542625
597,2,5,107,3,1,1,1747674237984
596,2,5,380,3,1,1,1747674095991
595,2,5,373,3,1,1,1747666861872
594,2,5,292,3,1,1,1747666324126
593,2,5,384,3,1,1,1747666030598
592,2,5,248,3,1,1,1747665805677
591,2,5,405,3,1,1,1747665628630
590,2,5,15,3,1,1,1747661848424
589,2,5,301,3,1,1,1747661649793
588,2,5,208,3,1,1,1747661550339
587,2,5,252,3,1,0,1747661318531
586,2,5,402,3,1,0,1747661034299
585,2,5,334,3,1,1,1747660730593
584,2,5,277,3,1,0,1747660570692
583,2,5,87,3,1,0,1747660319285
582,2,5,389,3,1,1,1747660001435
581,2,5,236,3,1,1,1747659708389
580,2,5,186,3,1,1,1747659392507
579,2,5,119,3,1,1,1747659189331
578,2,5,26,3,1,1,1747658964195
577,2,5,120,3,1,1,1747658763464
576,2,5,404,3,1,1,1747652315409
575,2,5,49,3,1,0,1747652086951
574,2,5,293,3,1,1,1747651254042
573,2,5,285,3,1,1,1747651047711
572,2,5,368,3,1,1,1747650739438
571,-1,5,102,3,1,0,1747649080055
570,2,5,404,3,1,1,1747648395198
569,2,5,80,3,1,1,1747648132132
568,2,5,215,3,1,1,1747647829956
567,2,5,356,3,1,1,1747647481298
566,2,5,58,3,1,1,1747647174518
565,2,5,335,3,1,1,1747646931390
564,2,5,280,4,1,1,1747646654624
563,2,5,352,3,1,1,1747646592615
562,2,5,81,4,1,0,1746523127632
561,2,5,337,4,1,0,1746523126217
560,2,5,220,4,1,0,1746523126216
559,2,5,300,4,1,0,1746523124816
558,2,5,180,2,1,0,1745594168542
557,-1,5,304,3,1,1,1744807277904
556,-1,5,127,3,1,0,1744806878493
555,-1,5,57,3,1,0,1744801755994
550,1,5,119,3,1,1,1743878920672
545,1,5,262,3,2,0,1742890287601
544,1,5,305,4,2,1,1742890099099
543,1,5,327,4,2,1,1742890072634
541,1,5,325,4,2,0,1742890058314
542,1,5,371,4,2,0,1742890058314
540,1,5,158,4,2,0,1742890053274
533,1,5,287,3,2,1,1742826437202
532,1,5,81,3,2,0,1742826339426
531,1,5,107,4,2,1,1742826267826
530,1,5,277,4,2,1,1742826251098
529,1,5,71,4,2,1,1742826234810
527,1,5,142,4,2,0,1742826228914
528,1,5,240,4,2,0,1742826228914
526,1,5,123,4,2,1,1742826221210
525,1,5,105,4,2,1,1742826213602
524,1,5,392,4,2,1,1742826197930
523,1,5,49,4,2,1,1742826190130
522,1,5,233,4,2,1,1742826173201
521,1,5,63,4,2,1,1742826165345
520,1,5,60,4,2,1,1742826158218
518,2,5,7,2,1,0,1742767885400
517,1,5,199,3,2,1,1742760951403
516,1,5,202,3,2,0,1742760599503
515,1,5,333,3,2,0,1742760187273
514,1,5,162,3,2,0,1742759801743
513,1,5,258,3,2,0,1742752260892
511,1,5,131,4,2,0,1742749118522
512,1,5,198,4,2,0,1742749118522
510,1,5,159,4,2,1,1742749091753
509,1,5,91,4,2,1,1742749063721
508,1,5,231,4,2,0,1742746751528
507,1,5,329,4,2,1,1742746729109
505,1,5,82,4,2,0,1742746710933
506,1,5,107,4,2,0,1742746710933
504,1,5,354,4,2,0,1742746638282
503,1,5,396,4,2,1,1742746625178
501,1,5,217,4,2,0,1742746529043
502,1,5,160,4,2,0,1742746529043
500,1,5,47,4,2,1,1742746519515
499,1,5,148,4,2,1,1742746509659
498,1,5,172,4,2,1,1742746491952
493,1,5,78,1,2,1,1742746428838
494,1,5,46,1,2,1,1742746428838
495,1,5,22,1,2,1,1742746428838
496,1,5,279,1,2,1,1742746428838
497,1,5,107,1,2,1,1742746428838
492,1,5,291,3,2,0,1742745971962
491,1,5,153,2,2,0,1742745648643
487,1,5,396,1,1,1,1742745207173
488,1,5,49,1,1,1,1742745207173
489,1,5,154,1,1,1,1742745207173
490,1,5,319,1,1,1,1742745207173
486,1,5,205,4,1,1,1742740280203
485,1,5,49,4,1,1,1742740276363
484,1,5,49,4,1,0,1742740270067
480,1,5,105,1,1,1,1742740236717
481,1,5,399,1,1,1,1742740236717
482,1,5,5,1,1,1,1742740236717
483,1,5,35,1,1,1,1742740236717
479,1,5,189,3,1,0,1742740120080
478,1,5,152,2,1,1,1742739912296
477,1,5,81,2,1,0,1742739734519
476,1,5,49,3,1,1,1742739507477
475,1,5,28,2,1,1,1742739258024
474,1,5,4,4,1,1,1742739055664
473,1,5,107,4,1,1,1742739016271
472,1,5,409,4,1,1,1742739009015
471,1,5,179,4,1,1,1742739003551
467,1,5,80,1,1,1,1742738965545
468,1,5,8,1,1,1,1742738965545
469,1,5,233,1,1,1,1742738965545
470,1,5,165,1,1,1,1742738965545
466,1,5,293,3,1,1,1742738891233
465,1,5,1,2,1,1,1742738757326
464,2,5,29,2,1,0,1742724674062
463,2,5,213,2,1,0,1742723121948
462,1,5,399,4,2,1,1742719456482
461,1,5,78,4,2,1,1742682714192
460,1,5,275,4,2,1,1742682710936
459,1,5,75,4,2,1,1742682702472
458,1,5,6,3,2,1,1742682671660
456,1,5,283,4,2,0,1742680253677
457,1,5,91,4,2,0,1742680253677
455,1,5,174,4,2,0,1742680241493
450,1,5,282,1,2,1,1742680193468
451,1,5,334,1,2,1,1742680193468
452,1,5,403,1,2,1,1742680193468
453,1,5,246,1,2,1,1742680193468
