id,dataset_id,name,description,url,teaser,year,steam_id
38,1,Discworld Noir,,https://en.wikipedia.org/wiki/Discworld_Noir,05a8dce5-af0b-4915-9b9a-27c81abd6741.jpg,1999,
39,1,Pentiment,,https://store.steampowered.com/app/1205520/Pentiment/,75101bf7-9294-4d78-8d5d-341e5d7bbbaf.jpg,2022,1205520
40,1,Overboard!,,https://store.steampowered.com/app/1546920/Overboard/,aa5111b1-ba24-4816-8742-8af38e1b4eab.jpg,2021,1546920
41,1,Silicon Dreams,,https://store.steampowered.com/app/1272070/Silicon_Dreams____cyberpunk_interrogation/,19e9b160-730b-4800-8a90-de3711813bd1.jpg,2021,1272070
42,1,Among Us,,https://store.steampowered.com/app/945360/Among_Us/,ec4cf561-cf7c-4f83-ba58-7adbba398e40.jpg,2018,945360
43,1,AI Tech Preview: The Portopia Serial Murder Case,,https://store.steampowered.com/app/2280000/SQUARE_ENIX_AI_Tech_Preview_THE_PORTOPIA_SERIAL_MURDER_CASE/,bd9f00df-0ee4-47e0-a66d-896c3da859d7.jpg,2023,2280000
44,1,Chants of Sennar,,https://store.steampowered.com/app/1931770/Chants_of_Sennaar/,be890a2e-28e5-4d11-af4d-e4c9ba06e1dc.jpg,2023,1931770
45,1,The Elder Scrolls V: Skyrim,,https://store.steampowered.com/app/72850/The_Elder_Scrolls_V_Skyrim/,6718def3-3417-4a5b-bf8d-000172cfd9c8.jpg,2011,72850
46,1,Kingdom Come: Deliverance,,https://store.steampowered.com/app/379430/Kingdom_Come_Deliverance/,64fcea66-8cd7-4a97-b3f5-cf5b3471e2e1.jpg,2018,379430
47,1,Hexcells,,https://store.steampowered.com/app/265890/Hexcells/,3e6451d2-6a91-43cc-8d68-7460c1e2ab29.jpg,2014,265890
48,1,Hexologic,,https://store.steampowered.com/app/785890/Hexologic/,cf242e09-9e69-4fae-aa56-06a28ba3b789.jpg,2018,785890
49,1,Anno 1800,,https://store.steampowered.com/app/916440/Anno_1800/,02403768-92be-4ed0-b81a-b6b097025f04.jpg,2019,916440
50,1,Prison Architect,,https://store.steampowered.com/app/233450/Prison_Architect/,1f4993c2-2549-4be6-a6cc-2be293cf42ff.jpg,2015,233450
51,1,Cities: Skylines,,https://store.steampowered.com/app/255710/Cities_Skylines/,db46a6d1-62fc-421d-a907-f12747ccfeda.jpg,2015,255710
52,1,DotA 2,,https://store.steampowered.com/app/570/Dota_2/,ebd24d08-6634-4d85-9555-817f64fc864c.jpg,2013,570
53,1,Minecraft,,https://www.minecraft.net/en-us,448b04d8-039e-449a-8d5b-2833bc29a3e6.png,2011,
54,1,The Sims 3,,https://store.steampowered.com/app/47890/The_Sims_3/,61717b02-acb2-49c2-a3bb-dae8ec3115f2.jpg,2009,47890
55,1,Transistor,,https://store.steampowered.com/app/237930/Transistor/,613f03da-5a6f-4af9-a6f7-786f1b56cbd2.jpg,2014,237930
56,1,Shadow Tactics: Blade of the Shogun,,https://store.steampowered.com/app/418240/Shadow_Tactics_Blades_of_the_Shogun/,fcf48bad-7092-48ac-8962-f62288ea6966.jpg,2016,418240
57,1,Cosmoteer: Starship Arcitect & Commander,,https://store.steampowered.com/app/799600/Cosmoteer_Starship_Architect__Commander/,d80c348a-b044-441c-a791-e4cb366881b9.jpg,2022,799600
58,1,Mass Effect (2007),,https://store.steampowered.com/app/17460/Mass_Effect_2007/,3b88d227-e06b-4e70-b3fc-60cc4ceb1a9e.jpg,2007,17460
59,1,StarCraft II,,https://en.wikipedia.org/wiki/StarCraft_II,91ad10ee-7802-4713-9bb9-21f0835899c9.png,2010,
60,1,WarCraft III: Reign of Chaos,,https://en.wikipedia.org/wiki/Warcraft_III:_Reign_of_Chaos,29df0edd-439b-4828-95ed-19d2f6e5dcf7.jpg,2002,
61,1,Gothic,,https://store.steampowered.com/app/65540/Gothic_1/,51f9f0cb-12e8-46bb-8b52-91bfd40e9803.jpg,2001,65540
62,1,AdVenture Capitalist,,https://store.steampowered.com/app/346900/AdVenture_Capitalist/,fcf34c60-4343-4245-846c-7f6305b5caf9.jpg,2015,346900
63,1,Project Highrise,,https://store.steampowered.com/app/423580/Project_Highrise/,7919f6cc-4f54-4cb3-a26b-c32885eaeb7b.jpg,2016,423580
64,1,Banished,,https://store.steampowered.com/app/242920/Banished/,22dbe80a-1e82-4f6a-bdbe-b45b4fe92a0d.jpg,2014,242920
65,1,Borderlands 2,,https://store.steampowered.com/app/49520/Borderlands_2/,0d2566a3-4e26-4985-9bd6-407a79d4412c.jpg,2012,49520
66,1,Planet Coaster,,https://store.steampowered.com/app/493340/Planet_Coaster/,d3cac285-0997-4128-aa91-7301a83938a2.jpg,2016,493340
67,1,Batman: Arkham City,,https://store.steampowered.com/app/200260/Batman_Arkham_City__Game_of_the_Year_Edition/,4da841ab-11c2-40af-b382-8fe16b7d03c5.jpg,2012,200260
68,1,Risen 2 - Dark Waters,,https://store.steampowered.com/app/40390/Risen_2_Dark_Waters/,c18f270d-76ab-493c-9c62-9b5aef87a9c9.jpg,2012,40390
69,1,Risen,,https://store.steampowered.com/app/40300/Risen/,bdfe7264-9992-48ef-a089-2921e8dccf28.jpg,2009,40300
