id,name,item_id,code_id,created,created_by
431,Quick Access Slots,350,4,1731841164285,1
432,Quick Access Slots,161,4,1731841479370,1
433,Quick Access Slots,68,4,1731841665025,1
434,Quick Access Slots,69,4,1731841804172,1
435,Quick Access Slots,147,4,1731842008817,1
436,Quick Access Slots,139,4,1731842123463,1
437,Quick Access Slots,243,4,1731842280510,1
438,Quick Access Slots,70,4,1731842619603,1
439,Quick Access Slots,65,4,1731842909992,1
440,Quick Access Slots,108,4,1731843177718,1
442,Quick Access Slots,403,4,1731844048751,1
443,Coaster Templates,83,4,1731878036212,2
444,Quick Access Slots,127,4,1731923863727,2
445,Inventory Management,166,4,1731939093425,2
446,Inventory Management,254,4,1731968359822,1
448,Spell Pre-Cast,374,4,1732101945438,2
449,Inventory Management,374,4,1732111279887,2
450,Window Placement,64,4,1732132881406,1
452,Placeholder,202,4,1732199682615,2
453,Location Marker,45,4,1732212698867,1
454,Location Marker,135,4,1732213545807,1
455,Quick Access Slots,214,4,1732215738546,1
456,Quick Access Slots,382,4,1732215876120,2
457,Location Marker,230,4,1732219689042,2
458,Location Marker,232,4,1732219765975,2
459,Inventory Management,382,4,1732220594451,2
460,Location Marker,336,4,1732221027062,1
461,Location Marker,114,4,1732222815651,1
462,Chest Colors,117,4,1732267665006,1
463,Inventory Management,299,4,1732276458137,2
464,Quick Access Slots,299,4,1732276903049,2
465,Quick Access Slots,263,4,1732494256278,2
466,Machine Template,248,4,1732537700171,1
467,Location Marker,227,4,1732548298840,2
468,Mark Enemies,227,4,1732548946531,2
469,Create Templates,51,4,1732554882733,1
470,Location Marker,236,4,1732564847280,2
471,Location Marker,272,4,1732569545375,2
472,Quick Access Slots,272,4,1732571719060,2
473,Action Queues,324,4,1732618885134,2
474,Control Groups,324,4,1732619435021,2
475,Quick Access Slots,347,4,1732619787090,1
476,Quick Access Slots,61,4,1732621385753,2
477,Quick Access Slots,136,4,1732621419341,2
478,Quick Access Slots,270,4,1732636456840,2
479,Window Placement,83,4,1732651652260,2
481,Quick Access Slots,279,4,1732705871353,2
482,Map Marker,279,4,1732706250099,2
483,Quest Tracker,279,4,1732706807665,2
484,Location Marker,268,4,1732738787618,2
485,Action Queues,273,4,1732745398188,2
487,Control Groups,273,4,1732746395179,2
488,Map Drawing,52,4,1732747864653,1
489,Action Queues,59,4,1732749078606,1
490,Action Queues,389,4,1732749153342,1
491,Custom Formations,413,4,1732749604946,1
492,Action Queues,60,4,1732750035272,1
493,Quick Access Slots,309,4,1732808301001,2
494,Quick Access Slots,306,4,1732812934642,2
496,Quest Tracker,306,4,1732814155979,2
497,Quick Access Slots,168,4,1732827046553,2
498,Control Groups,322,4,1732830023153,2
499,Location Marker,191,4,1732830623611,1
500,Map Marker,191,4,1732830793346,1
501,Location Marker,285,4,1732960452749,2
502,Quick Access Slots,285,4,1732961046179,2
503,Quest Tracker,285,4,1732961471609,2
504,Mark Enemies,185,4,1732970984671,2
505,Quick Access Slots,334,4,1732985872937,2
506,Location Marker,334,4,1732997582673,2
507,Location Marker,296,4,1733000355109,2
508,Quest Tracker,296,4,1733000440054,2
510,Quick Access Slots,226,4,1733086466258,2
511,Location Marker,226,4,1733088486655,2
512,Location Marker,338,4,1733094908564,2
513,Location Marker,116,4,1733157474347,2
